      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,       |Ap|,       /_Ap,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
        Hz,         dB,       Rads,         dB,       Rads,         dB,       Rads,          V,          V,          V,          V,          L,          L,          A,          A,          A,          A,          L,          L,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
 1.325e+06, -3.072e+01,  1.959e+00, -2.295e+01, -2.755e+00, -2.683e+01, -1.569e+00,  4.282e+00,  1.749e+00, -9.434e-02,  9.612e-02, -1.103e-02,  2.695e-02,  1.437e-02, -3.497e-02, -1.887e-03,  1.922e-03, -6.600e-02, -2.684e-02,  2.538e-01,  1.223e+02,  2.538e-01,  1.223e+02,  3.628e-04,  1.749e-01,  3.628e-04,  8.132e-20,
 1.365e+06, -3.153e+01,  1.947e+00, -2.346e+01, -2.767e+00, -2.750e+01, -1.569e+00,  4.324e+00,  1.706e+00, -8.413e-02,  8.996e-02, -9.736e-03,  2.465e-02,  1.353e-02, -3.411e-02, -1.683e-03,  1.799e-03, -6.248e-02, -2.455e-02,  2.253e-01,  1.267e+02,  2.253e-01,  1.267e+02,  3.034e-04,  1.706e-01,  3.034e-04,  0.000e+00,
 1.406e+06, -3.233e+01,  1.936e+00, -2.396e+01, -2.778e+00, -2.815e+01, -1.569e+00,  4.362e+00,  1.664e+00, -7.526e-02,  8.421e-02, -8.631e-03,  2.260e-02,  1.276e-02, -3.328e-02, -1.505e-03,  1.684e-03, -5.923e-02, -2.252e-02,  2.008e-01,  1.310e+02,  2.008e-01,  1.310e+02,  2.551e-04,  1.664e-01,  2.551e-04,  0.000e+00,
 1.446e+06, -3.310e+01,  1.925e+00, -2.445e+01, -2.789e+00, -2.877e+01, -1.569e+00,  4.397e+00,  1.624e+00, -6.751e-02,  7.885e-02, -7.679e-03,  2.077e-02,  1.205e-02, -3.249e-02, -1.350e-03,  1.577e-03, -5.622e-02, -2.070e-02,  1.795e-01,  1.353e+02,  1.795e-01,  1.353e+02,  2.155e-04,  1.624e-01,  2.155e-04, -1.355e-20,
 1.486e+06, -3.384e+01,  1.915e+00, -2.492e+01, -2.799e+00, -2.938e+01, -1.570e+00,  4.430e+00,  1.586e+00, -6.072e-02,  7.387e-02, -6.856e-03,  1.913e-02,  1.140e-02, -3.173e-02, -1.214e-03,  1.477e-03, -5.342e-02, -1.908e-02,  1.609e-01,  1.396e+02,  1.609e-01,  1.396e+02,  1.829e-04,  1.586e-01,  1.829e-04, -1.355e-20,
 1.526e+06, -3.456e+01,  1.905e+00, -2.539e+01, -2.808e+00, -2.998e+01, -1.570e+00,  4.460e+00,  1.550e+00, -5.476e-02,  6.924e-02, -6.141e-03,  1.766e-02,  1.081e-02, -3.100e-02, -1.095e-03,  1.385e-03, -5.082e-02, -1.762e-02,  1.446e-01,  1.438e+02,  1.446e-01,  1.438e+02,  1.559e-04,  1.550e-01,  1.559e-04, -1.355e-20,
 1.566e+06, -3.527e+01,  1.897e+00, -2.584e+01, -2.817e+00, -3.055e+01, -1.570e+00,  4.487e+00,  1.515e+00, -4.950e-02,  6.495e-02, -5.518e-03,  1.634e-02,  1.025e-02, -3.029e-02, -9.901e-04,  1.299e-03, -4.840e-02, -1.630e-02,  1.304e-01,  1.481e+02,  1.304e-01,  1.481e+02,  1.334e-04,  1.515e-01,  1.334e-04,  0.000e+00,
 1.606e+06, -3.595e+01,  1.888e+00, -2.628e+01, -2.825e+00, -3.111e+01, -1.570e+00,  4.513e+00,  1.481e+00, -4.486e-02,  6.097e-02, -4.972e-03,  1.514e-02,  9.745e-03, -2.962e-02, -8.972e-04,  1.219e-03, -4.614e-02, -1.511e-02,  1.179e-01,  1.523e+02,  1.179e-01,  1.523e+02,  1.146e-04,  1.481e-01,  1.146e-04, -1.355e-20,
 1.647e+06, -3.662e+01,  1.880e+00, -2.670e+01, -2.833e+00, -3.166e+01, -1.570e+00,  4.536e+00,  1.449e+00, -4.075e-02,  5.728e-02, -4.492e-03,  1.406e-02,  9.272e-03, -2.897e-02, -8.149e-04,  1.146e-03, -4.404e-02, -1.403e-02,  1.068e-01,  1.566e+02,  1.068e-01,  1.566e+02,  9.883e-05,  1.449e-01,  9.883e-05, -6.776e-21,
 1.687e+06, -3.727e+01,  1.872e+00, -2.712e+01, -2.841e+00, -3.219e+01, -1.570e+00,  4.558e+00,  1.417e+00, -3.709e-02,  5.386e-02, -4.069e-03,  1.308e-02,  8.833e-03, -2.835e-02, -7.418e-04,  1.077e-03, -4.207e-02, -1.306e-02,  9.702e-02,  1.608e+02,  9.702e-02,  1.608e+02,  8.554e-05,  1.417e-01,  8.554e-05,  0.000e+00,
