      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 2.483e+05, -8.165e-01,  3.838e-01,  7.868e-01,  4.664e-01, -1.707e+01,  8.263e-02, -1.708e+01, -4.430e-17,  3.788e+02,  3.137e+01,  2.619e+02, -2.198e+01,  2.730e+00,  1.025e-01,  2.270e+00,  1.017e+00,  7.182e-03, -3.243e-04,  7.183e-03,  3.219e-03,
 2.550e+05,  7.091e-01, -1.179e+00, -1.260e+00, -8.268e-01, -1.696e+01,  3.526e-01, -1.724e+01, -9.179e-17,  2.364e+02,  8.698e+01,  3.730e+02, -1.367e+02,  2.209e+00,  4.395e-01,  1.355e+00, -2.034e+00,  8.832e-03, -1.391e-03,  4.289e-03, -6.435e-03,
 2.618e+05, -1.284e+00, -2.450e+00,  9.487e-01, -2.174e+00, -1.703e+01,  2.759e-01, -1.720e+01,  0.000e+00,  3.931e+02,  1.113e+02,  2.354e+02, -6.700e+01,  2.826e+00,  3.413e-01, -1.690e+00, -1.781e+00,  6.881e-03, -1.080e-03, -5.347e-03, -5.637e-03,
 2.685e+05,  1.012e+00,  2.438e+00, -1.146e+00,  2.613e+00, -1.707e+01,  1.756e-01, -1.714e+01,  0.000e+00,  2.427e+02,  4.305e+01,  3.994e+02, -7.029e+01,  2.189e+00,  2.166e-01, -2.032e+00,  1.406e+00,  8.897e-03, -6.855e-04, -6.431e-03,  4.448e-03,
 2.752e+05, -1.280e+00,  9.723e-01,  3.116e-01,  1.436e+00, -1.684e+01,  4.635e-01, -1.733e+01, -4.685e-17,  3.395e+02,  1.697e+02,  2.358e+02, -1.181e+02,  2.741e+00,  5.848e-01,  9.158e-01,  2.239e+00,  7.149e-03, -1.851e-03,  2.898e-03,  7.084e-03,
 2.819e+05,  5.336e-01, -2.432e-01, -5.373e-01, -2.142e-01, -1.705e+01,  2.900e-02, -1.706e+01,  0.000e+00,  2.792e+02,  8.099e+00,  3.574e+02, -1.014e+01,  2.346e+00,  3.611e-02,  2.431e+00, -5.635e-01,  8.399e-03, -1.143e-04,  7.692e-03, -1.783e-03,
 2.886e+05, -8.047e-01, -1.884e+00, -6.226e-01, -1.326e+00, -1.670e+01,  5.577e-01, -1.741e+01, -5.972e-18,  2.738e+02,  1.708e+02,  2.632e+02, -1.642e+02,  2.528e+00,  7.157e-01, -8.879e-02, -2.394e+00,  7.822e-03, -2.265e-03, -2.810e-04, -7.575e-03,
 2.953e+05, -3.650e-01, -3.002e+00,  3.644e-01, -2.990e+00, -1.705e+01,  1.207e-02, -1.705e+01,  0.000e+00,  3.437e+02,  4.147e+00,  2.905e+02, -3.626e+00,  2.605e+00,  1.506e-02, -2.472e+00, -3.609e-01,  7.579e-03, -4.764e-05, -7.821e-03, -1.142e-03,
 3.020e+05,  1.665e-02,  1.580e+00, -1.342e+00,  2.118e+00, -1.675e+01,  5.385e-01, -1.741e+01,  0.000e+00,  2.320e+02,  1.386e+02,  3.181e+02, -1.897e+02,  2.290e+00,  6.853e-01, -7.068e-01,  2.288e+00,  8.576e-03, -2.169e-03, -2.237e-03,  7.242e-03,
 3.087e+05, -1.176e+00,  4.419e-01,  1.084e+00,  5.871e-01, -1.709e+01,  1.452e-01, -1.713e+01,  1.794e-16,  4.056e+02,  5.932e+01,  2.412e+02, -3.557e+01,  2.825e+00,  1.788e-01,  2.164e+00,  1.196e+00,  6.882e-03, -5.658e-04,  6.847e-03,  3.786e-03,
